row,col,x,y,land surface temperature
264,603,609195.0,3372765.0,314.24417
725,924,618825.0,3358935.0,320.11633
775,467,605115.0,3357435.0,320.67004
1014,538,607245.0,3350265.0,319.9796
37,539,607275.0,3379575.0,317.55966
1610,150,595605.0,3332385.0,320.6051
181,1708,642345.0,3375255.0,315.01324
1600,1192,626865.0,3332685.0,322.04752
318,580,608505.0,3371145.0,314.16214
654,968,620145.0,3361065.0,323.3327
318,1384,632625.0,3371145.0,318.63974
1062,172,596265.0,3348825.0,317.129
1638,1152,625665.0,3331545.0,324.06415
1532,1725,642855.0,3334725.0,317.79208
561,1577,638415.0,3363855.0,320.9264
326,1052,622665.0,3370905.0,318.08945
1195,233,598095.0,3344835.0,319.4806
1305,851,616635.0,3341535.0,322.00308
910,745,613455.0,3353385.0,315.00983
1559,1436,634185.0,3333915.0,323.425
237,664,611025.0,3373575.0,320.68713
219,710,612405.0,3374115.0,321.97232
1561,719,612675.0,3333855.0,323.16522
1673,449,604575.0,3330495.0,323.81464
400,853,616695.0,3368685.0,322.59097
1368,1014,621525.0,3339645.0,315.86774
79,465,605055.0,3378315.0,318.87558
1254,1345,631455.0,3343065.0,318.1783
1297,247,598515.0,3341775.0,322.11246
317,931,619035.0,3371175.0,319.27893
541,1319,630675.0,3364455.0,319.93176
888,1018,621645.0,3354045.0,323.17548
1206,1477,635415.0,3344505.0,313.16068
1577,551,607635.0,3333375.0,320.87512
743,505,606255.0,3358395.0,317.77158
131,1618,639645.0,3376755.0,322.1569
130,355,601755.0,3376785.0,318.3492
559,1144,625425.0,3363915.0,320.68372
33,1518,636645.0,3379695.0,323.93768
313,1518,636645.0,3371295.0,316.77008
69,940,619305.0,3378615.0,318.02792
310,877,617415.0,3371385.0,318.20566
472,1110,624405.0,3366525.0,323.35663
552,1698,642045.0,3364125.0,320.03772
140,1652,640665.0,3376485.0,320.99136
574,29,591975.0,3363465.0,322.1945
446,785,614655.0,3367305.0,318.96106
526,779,614475.0,3364905.0,312.64795
791,851,616635.0,3356955.0,309.91354
867,1247,628515.0,3354675.0,321.9484
832,1639,640275.0,3355725.0,316.61627
860,1662,640965.0,3354885.0,319.93176
1608,1408,633345.0,3332445.0,327.78296
427,1228,627945.0,3367875.0,319.33362
1513,71,593235.0,3335295.0,321.13834
1579,1219,627675.0,3333315.0,320.60168
443,1605,639255.0,3367395.0,319.05676
267,790,614805.0,3372675.0,321.78433
1525,1046,622485.0,3334935.0,319.62073
397,910,618405.0,3368775.0,322.62857
296,917,618615.0,3371805.0,318.27402
729,1479,635475.0,3358815.0,320.76233
780,1296,629985.0,3357285.0,318.12363
802,1719,642675.0,3356625.0,319.11145
211,552,607665.0,3374355.0,313.67337
1242,1581,638535.0,3343425.0,312.81543
1515,1364,632025.0,3335235.0,324.46747
316,1574,638325.0,3371205.0,324.1872
485,976,620385.0,3366135.0,319.09094
1375,1634,640125.0,3339435.0,322.37906
924,1679,641475.0,3352965.0,320.81702
19,1290,629805.0,3380115.0,324.35126
1034,686,611685.0,3349665.0,317.80576
857,763,613995.0,3354975.0,315.63873
491,1190,626805.0,3365955.0,320.4513
1426,1229,627975.0,3337905.0,324.5495
242,1691,641835.0,3373425.0,318.37314
892,584,608625.0,3353925.0,316.02496
622,1759,643875.0,3362025.0,317.6212
257,395,602955.0,3372975.0,317.34433
1583,1622,639765.0,3333195.0,318.14072
914,1059,622875.0,3353265.0,320.089
1199,220,597705.0,3344715.0,315.48492
9,896,617985.0,3380415.0,321.04263
1094,842,616365.0,3347865.0,319.4635
1578,1767,644115.0,3333345.0,319.66174
916,495,605955.0,3353205.0,317.587
327,990,620805.0,3370875.0,320.0548
981,477,605415.0,3351255.0,316.16852
1528,1197,627015.0,3334845.0,326.34396
681,919,618675.0,3360255.0,321.00845
1472,1141,625335.0,3336525.0,321.40494
1662,1013,621495.0,3330825.0,326.43625
652,1034,622125.0,3361125.0,322.3278
1289,537,607215.0,3342015.0,320.53333
1564,1197,627015.0,3333765.0,325.134
1105,1721,642735.0,3347535.0,316.1822
27,148,595545.0,3379875.0,313.32474
472,189,596775.0,3366525.0,316.85553
787,1219,627675.0,3357075.0,321.99966
823,94,593925.0,3355995.0,320.24963
